Academic Year,Private Nonprofit Four-Year,Public Four-Year,Public Two-Year
71-72,"$13,820","$3,250","$1,430"
72-73,"$14,270","$3,660","$1,680"
73-74,"$14,120","$3,510","$1,860"
74-75,"$13,210","$3,160","$1,740"
75-76,"$13,020","$3,070","$1,420"
76-77,"$13,600","$3,330","$1,500"
77-78,"$13,630","$3,330","$1,560"
78-79,"$13,880","$3,240","$1,550"
79-80,"$13,610","$3,120","$1,520"
80-81,"$13,440","$2,970","$1,450"
81-82,"$13,830","$3,060","$1,450"
82-83,"$14,700","$3,260","$1,490"
83-84,"$15,630","$3,530","$1,630"
84-85,"$16,370","$3,620","$1,710"
85-86,"$17,390","$3,750","$1,820"
86-87,"$18,580","$3,930","$1,840"
87-88,"$18,980","$4,010","$1,990"
88-89,"$20,680","$4,080","$2,070"
89-90,"$21,360","$4,190","$2,070"
90-91,"$21,850","$4,470","$2,130"
91-92,"$22,030","$4,740","$2,630"
92-93,"$22,780","$5,080","$2,440"
93-94,"$23,300","$5,380","$2,650"
94-95,"$24,190","$5,590","$2,700"
95-96,"$24,520","$5,640","$2,670"
96-97,"$25,320","$5,810","$2,870"
97-98,"$26,280","$5,930","$2,990"
98-99,"$27,600","$6,100","$2,910"
99-00,"$28,490","$6,170","$3,030"
00-01,"$28,540","$6,230","$2,910"
01-02,"$30,010","$6,510","$2,780"
02-03,"$30,700","$6,970","$2,840"
03-04,"$31,500","$7,730","$3,170"
04-05,"$32,460","$8,310","$3,370"
05-06,"$32,850","$8,600","$3,410"
06-07,"$33,840","$8,800","$3,440"
07-08,"$34,540","$9,130","$3,380"
08-09,"$35,260","$9,370","$3,380"
09-10,"$36,690","$10,080","$3,660"
10-11,"$37,550","$10,700","$3,840"
11-12,"$37,910","$11,260","$4,040"
12-13,"$38,620","$11,520","$4,200"
13-14,"$39,550","$11,670","$4,250"
14-15,"$40,410","$11,820","$4,310"
15-16,"$41,730","$12,170","$4,390"
16-17,"$42,690","$12,320","$4,410"
17-18,"$43,310","$12,450","$4,420"
18-19,"$43,450","$12,430","$4,420"
19-20,"$44,120","$12,490","$4,430"
20-21,"$44,040","$12,490","$4,430"
21-22,"$42,970","$12,130","$4,290"
22-23,"$41,740","$11,480","$4,070"
23-24,"$41,540","$11,260","$3,990"
