,Asian,White,Black,Hispanic
1990,81%,62%,48%,52%
1991,81%,63%,49%,52%
1992,81%,64%,47%,52%
1993,82%,64%,50%,58%
1994,82%,64%,52%,55%
1995,82%,64%,53%,55%
1996,82%,65%,53%,51%
1997,83%,67%,55%,57%
1998,84%,68%,59%,55%
1999,81%,68%,60%,52%
2000,82%,67%,59%,48%
2001,78%,65%,56%,49%
2002,73%,66%,56%,53%
2003,74%,66%,57%,55%
2004,74%,68%,60%,58%
2005,82%,69%,59%,58%
2006,82%,70%,58%,58%
2007,86%,70%,56%,59%
2008,87%,70%,56%,62%
2009,90%,71%,60%,62%
2010,88%,71%,62%,61%
2011,88%,70%,66%,62%
2012,84%,68%,62%,66%
2013,83%,68%,60%,66%
2014,84%,67%,61%,65%
2015,85%,69%,61%,65%
2016,89%,70%,61%,69%
2017,86%,70%,57%,67%
2018,83%,70%,60%,66%
2019,82%,69%,58%,63%
2020,82%,68%,57%,62%
