Academic Year,Private Nonprofit Four-Year,One-Year % Change,Public Four-Year,One-Year % Change,Public Two-Year,One-Year % Change,Private Nonprofit Four-Year,One-Year % Change,Public Four-Year,One-Year % Change
71-72,"$13,820",—,"$3,250",—,"$1,430",—,"$22,130",—,"$10,650",—
72-73,"$14,270",3.3%,"$3,660",12.6%,"$1,680",17.5%,"$22,610",2.2%,"$11,340",6.5%
73-74,"$14,120",-1.1%,"$3,510",-4.1%,"$1,860",10.7%,"$22,180",-1.9%,"$11,020",-2.8%
74-75,"$13,210",-6.4%,"$3,160",-10.0%,"$1,740",-6.5%,"$21,220",-4.3%,"$10,240",-7.1%
75-76,"$13,020",-1.4%,"$3,070",-2.8%,"$1,420",-18.4%,"$20,920",-1.4%,"$10,120",-1.2%
76-77,"$13,600",4.5%,"$3,330",8.5%,"$1,500",5.6%,"$21,390",2.2%,"$10,430",3.1%
77-78,"$13,630",0.2%,"$3,330",0.0%,"$1,560",4.0%,"$21,400",0.0%,"$10,300",-1.2%
78-79,"$13,880",1.8%,"$3,240",-2.7%,"$1,550",-0.6%,"$21,620",1.0%,"$10,080",-2.1%
79-80,"$13,610",-1.9%,"$3,120",-3.7%,"$1,520",-1.9%,"$21,100",-2.4%,"$9,820",-2.6%
80-81,"$13,440",-1.2%,"$2,970",-4.8%,"$1,450",-4.6%,"$20,750",-1.7%,"$9,460",-3.7%
81-82,"$13,830",2.9%,"$3,060",3.0%,"$1,450",0.0%,"$21,300",2.7%,"$9,660",2.1%
82-83,"$14,700",6.3%,"$3,260",6.5%,"$1,490",2.8%,"$22,600",6.1%,"$10,140",5.0%
83-84,"$15,630",6.3%,"$3,530",8.3%,"$1,630",9.4%,"$23,830",5.4%,"$10,530",3.8%
84-85,"$16,370",4.7%,"$3,620",2.5%,"$1,710",4.9%,"$24,870",4.4%,"$10,830",2.8%
85-86,"$17,390",6.2%,"$3,750",3.6%,"$1,820",6.4%,"$25,300",1.7%,"$10,970",1.3%
86-87,"$18,580",6.8%,"$3,930",4.8%,"$1,840",1.1%,"$27,490",8.7%,"$11,300",3.0%
87-88,"$18,980",2.2%,"$4,010",2.0%,"$1,990",8.2%,"$28,160",2.4%,"$11,310",0.1%
88-89,"$20,680",9.0%,"$4,080",1.7%,"$2,070",4.0%,"$30,140",7.0%,"$11,530",1.9%
89-90,"$21,360",3.3%,"$4,190",2.7%,"$2,070",0.0%,"$30,980",2.8%,"$11,640",1.0%
90-91,"$21,850",2.3%,"$4,470",6.7%,"$2,130",2.9%,"$31,540",1.8%,"$11,860",1.9%
91-92,"$22,030",0.8%,"$4,740",6.0%,"$2,630",23.5%,"$31,860",1.0%,"$12,240",3.2%
92-93,"$22,780",3.4%,"$5,080",7.2%,"$2,440",-7.2%,"$32,760",2.8%,"$12,710",3.8%
93-94,"$23,300",2.3%,"$5,380",5.9%,"$2,650",8.6%,"$33,440",2.1%,"$13,140",3.4%
94-95,"$24,190",3.8%,"$5,590",3.9%,"$2,700",1.9%,"$34,050",1.8%,"$13,660",4.0%
95-96,"$24,520",1.4%,"$5,640",0.9%,"$2,670",-1.1%,"$34,880",2.4%,"$13,530",-1.0%
96-97,"$25,320",3.3%,"$5,810",3.0%,"$2,870",7.5%,"$35,790",2.6%,"$13,920",2.9%
97-98,"$26,280",3.8%,"$5,930",2.1%,"$2,990",4.2%,"$36,890",3.1%,"$14,230",2.2%
98-99,"$27,600",5.0%,"$6,100",2.9%,"$2,910",-2.7%,"$38,390",4.1%,"$14,580",2.5%
99-00,"$28,490",3.2%,"$6,170",1.1%,"$3,030",4.1%,"$39,430",2.7%,"$14,830",1.7%
00-01,"$28,540",0.2%,"$6,230",1.0%,"$2,910",-4.0%,"$39,500",0.2%,"$14,990",1.1%
01-02,"$30,010",5.2%,"$6,510",4.5%,"$2,780",-4.5%,"$41,200",4.3%,"$15,590",4.0%
02-03,"$30,700",2.3%,"$6,970",7.1%,"$2,840",2.2%,"$42,280",2.6%,"$16,440",5.5%
03-04,"$31,500",2.6%,"$7,730",10.9%,"$3,170",11.6%,"$43,310",2.4%,"$17,500",6.4%
04-05,"$32,460",3.0%,"$8,310",7.5%,"$3,370",6.3%,"$44,470",2.7%,"$18,420",5.3%
05-06,"$32,850",1.2%,"$8,600",3.5%,"$3,410",1.2%,"$45,000",1.2%,"$18,980",3.0%
06-07,"$33,840",3.0%,"$8,800",2.3%,"$3,440",0.9%,"$46,270",2.8%,"$19,480",2.6%
07-08,"$34,540",2.1%,"$9,130",3.8%,"$3,380",-1.7%,"$47,180",2.0%,"$20,000",2.7%
08-09,"$35,260",2.1%,"$9,370",2.6%,"$3,380",0.0%,"$48,010",1.8%,"$20,410",2.1%
09-10,"$36,690",4.1%,"$10,080",7.6%,"$3,660",8.3%,"$49,990",4.1%,"$21,720",6.4%
10-11,"$37,550",2.3%,"$10,700",6.2%,"$3,840",4.9%,"$51,150",2.3%,"$22,690",4.5%
11-12,"$37,910",1.0%,"$11,260",5.2%,"$4,040",5.2%,"$51,620",0.9%,"$23,330",2.8%
12-13,"$38,620",1.9%,"$11,520",2.3%,"$4,200",4.0%,"$52,550",1.8%,"$23,740",1.8%
13-14,"$39,550",2.4%,"$11,670",1.3%,"$4,250",1.2%,"$53,770",2.3%,"$24,130",1.6%
14-15,"$40,410",2.2%,"$11,820",1.3%,"$4,310",1.4%,"$54,840",2.0%,"$24,450",1.3%
15-16,"$41,730",3.3%,"$12,170",3.0%,"$4,390",1.9%,"$56,620",3.2%,"$25,250",3.3%
16-17,"$42,690",2.3%,"$12,320",1.2%,"$4,410",0.5%,"$57,790",2.1%,"$25,680",1.7%
17-18,"$43,310",1.5%,"$12,450",1.1%,"$4,420",0.2%,"$58,640",1.5%,"$25,940",1.0%
18-19,"$43,450",0.3%,"$12,430",-0.2%,"$4,420",0.0%,"$58,810",0.3%,"$26,060",0.5%
19-20,"$44,120",1.5%,"$12,490",0.5%,"$4,430",0.2%,"$59,660",1.4%,"$26,260",0.8%
20-21,"$44,040",-0.2%,"$12,490",0.0%,"$4,430",0.0%,"$59,770",0.2%,"$26,340",0.3%
21-22,"$42,970",-2.4%,"$12,130",-2.9%,"$4,290",-3.2%,"$58,340",-2.4%,"$25,620",-2.7%
22-23,"$41,740",-2.9%,"$11,480",-5.4%,"$4,070",-5.1%,"$56,400",-3.3%,"$24,350",-5.0%
23-24,"$41,540",-0.5%,"$11,260",-1.9%,"$3,990",-2.0%,"$56,190",-0.4%,"$24,030",-1.3%
