"Table CP-1. Average Published Charges (Enrollment-Weighted) for Full-Time Undergraduates, 2022-23 and 2023-24",,,,,,,,,,,,,Trends in College Pricing 2023,,,,,,,,,,,
,Sector,,,,,Carnegie Classification,,,,,,,research.collegeboard.org/trends,,,,,,,,,,,
,Public Two-Year In-District,Public Four-Year In-State,Public Four-Year Out-of-State,Private Nonprofit Four-Year,For-Profit,Public Four-Year,,,Private Nonprofit Four-Year,,,,,,,,,,,,,,,
,,,,,,Doctoral,Master’s,Bachelor’s,Doctoral,Master’s,Bachelor’s,,,,,,,,,,,,,
Tuition and Fees,,,,,,,,,,,,,,,,,,,,,,,,
2023-24,"$3,990 ","$11,260 ","$29,150 ","$41,540 ",—,"$11,930","$9,250","$8,910","$49,660 ","$30,970 ","$41,890 ",,,,,,,,,,,,,
2022-23,"$3,890 ","$10,990 ","$28,300 ","$39,940 ","$15,740 ","$11,630","$9,070","$8,770","$47,620 ","$29,930 ","$40,340 ",,,,,,,,,,,,,
$ Change,$100,$270,$850,"$1,600",—,$300,$180,$140,"$2,040","$1,040","$1,550",,,,,,,,,,,,,
% Change,2.6%,2.5%,3.0%,4.0%,—,2.6%,2.0%,1.6%,4.3%,3.5%,3.8%,,,,,,,,,,,,,
Housing and Food (Room and Board),,,,,,,,,,,,,,,,,,,,,,,,
2023-24,"$9,970 ","$12,770 ","$12,770 ","$14,650 ",,"$13,400 ","$11,680 ","$11,850 ","$16,780 ","$13,710 ","$13,580 ",,,,,,,,,,,,,
2022-23,"$9,610 ","$12,310 ","$12,310 ","$14,030 ",,"$12,880 ","$11,310 ","$11,390 ","$16,000 ","$13,180 ","$13,020 ",,,,,,,,,,,,,
Tuition and Fees and Housing and Food,,,,,,,,,,,,,,,,,,,,,,,,
2023-24,"$13,960 ","$24,030 ","$41,920 ","$56,190 ",—,"$25,330 ","$20,930 ","$20,760 ","$66,440 ","$44,680 ","$55,470 ",,,,,,,,,,,,,
2022-23,"$13,500 ","$23,300 ","$40,610 ","$53,970 ",—,"$24,510 ","$20,380 ","$20,160 ","$63,620 ","$43,110 ","$53,360 ",,,,,,,,,,,,,
Percentage of Undergraduates Enrolled Full Time,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2021,33%,80%,,81%,69%,83%,73%,54%,87%,72%,86%,,,,,,,,,,,,,
"NOTE: Prices in Table CP-1 are not adjusted for inflation. Tuition prices reported for 2022-23 have been revised and may differ from those reported in Trends in
College Pricing and Student Aid 2022. The latest tuition and fee estimate available for the for-profit sector is for 2022-23. Carnegie groupings are based on 2021 Carnegie classification.
",,,,,,,,,,,,,,,,,,,,,,,,
"SOURCES: College Board, Annual Survey of Colleges; NCES, IPEDS Fall 2021 Enrollment data and IPEDS 2021 Institutional Characteristics data.",,,,,,,,,,,,,,,,,,,,,,,,
"Enrollment-weighted tuition values represent the price charged by each institution weighted by the number of full-time undergraduate students enrolled in fall 2021. Public four-year in-state charges are weighted by total fall 2021 full-time undergraduate enrollment in each institution, including both in-state students and out-of-state students. Out-of-state tuition and fees are computed by adding the average in-state price to the out-of-state premium weighted by the number of full-time out-of-state undergraduate students enrolled at each institution. Housing and Food charges for 2022-23 and 2023-24 are calculated by applying the average one-year percent change among institutions that reported data in both years to the previous year’s sector average. In Trends in College Pricing 2019 and earlier editions, Housing and Food charges were weighted by the number of undergraduate students residing on campus for four-year institutions and by the number of commuter students for public two-year institutions.",,,,,,,,,,,,,,,,,,,,,,,,
This table was prepared in October 2023.,,,,,,,,,,,,,,,,,,,,,,,,
